,"""SPHA""","""BLIT""","""ASMA""","""MOSS""","""LEGR""","""CHCA""","""GRAS""","""SEDG""","""SMTR""","""PTAQ""","""COCA""","""VAAN""","""GAHI""","""ARNU""","""LYOB""","""PIMA""","""RUBU""","""VAOX""","""ROCK""","""ACSP""","""COCO""","""ACRU""","""TRBO""","""MACA""","""CLBO""","""STRO""","""FUNG""","""DILO""","""ERIO""","""GATR"""
_2,68,14,0,3,33,5,5,0,14,0,0,4,28,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0
_3,0,6,18,2,0,0,5,0,0,2,0,0,0,7,0,0,6,0,0,2,1,2,2,2,1,1,1,3,0,4
_12,60,1,0,0,5,9,12,1,14,0,0,0,2,0,0,3,0,4,0,0,0,0,0,0,0,0,4,0,3,0
_14,16,14,0,72,14,1,2,0,13,0,0,5,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
_15,68,7,0,30,27,8,4,0,12,0,0,5,13,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,0,0
_16,0,14,14,3,0,0,2,0,0,1,0,0,0,2,1,0,1,0,0,17,6,10,1,0,3,4,1,1,0,2
_18,62,7,0,3,6,12,4,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,1,0,11,0
_19,62,5,0,0,6,28,1,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,10,0
_20,0,5,8,14,0,0,4,6,0,14,10,3,0,0,6,0,0,0,17,1,8,1,1,0,3,0,0,0,0,0
_21,0,16,26,5,0,0,1,0,0,18,6,10,0,10,11,0,3,0,2,1,5,5,4,4,2,0,0,1,0,0
_36,0,25,38,3,0,0,5,3,0,6,7,0,0,0,0,0,1,0,10,0,3,6,4,4,6,3,0,1,0,3
_38,82,10,0,10,24,12,8,0,6,0,0,4,2,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0
_39,60,3,0,34,24,0,5,0,9,0,1,5,4,0,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
_41,72,17,0,4,6,0,3,0,5,0,0,5,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_42,34,14,0,36,15,1,0,5,6,0,4,9,8,0,1,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0
_43,32,13,0,34,28,3,0,0,6,0,0,5,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
_45,55,25,0,8,7,4,0,10,4,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
_47,64,8,0,5,9,8,1,32,20,0,0,5,4,0,0,2,0,5,0,0,0,0,0,0,0,0,3,0,0,0
_48,64,12,0,13,6,0,10,2,10,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
_49,48,5,0,6,1,0,5,14,5,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
_50,38,18,0,38,11,0,2,6,4,0,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
_51,74,3,0,2,34,17,1,0,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,8,0
_52,86,3,0,5,36,9,17,1,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0
_54,62,16,0,0,22,10,5,0,7,1,0,4,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
